,player_display_name,recent_team,games,fantasy_points_ppr,fppg_ppr,targets,receptions,receiving_yards,receiving_tds,target_share,air_yards_share,wopr,racr,adot,catch_rate,yards_per_target,yac_per_rec,avg_snap_pct,rz_targets
74,Jerry Jeudy,CLE,17,120.7,7.1,106,50,602,2,0.2053059173355086,0.3535027399426533,0.5554107939631203,0.4564159115784829,12.15,0.472,5.68,3.32,0.8452941176470588,9
75,Darius Slayton,NYG,14,98.8,7.06,63,37,538,1,0.1546141393821414,0.2497086393895121,0.4067172566458706,0.7108872818112795,13.38,0.587,8.54,5.35,0.812857142857143,8
76,Malik Washington,MIA,17,116.7,6.86,65,46,317,3,0.1441924606276866,0.1052396981299509,0.2899564796324956,1.9792739478898649,5.18,0.708,4.88,5.5,0.57,11
77,Calvin Ridley,TEN,7,47.3,6.76,36,17,303,0,0.1681893336286538,0.2441702115822781,0.4232031485505754,0.8671887382005791,12.58,0.472,8.42,4.94,0.5714285714285714,2
78,Tyquan Thornton,KC,12,80.8,6.73,37,19,438,3,0.0902903892532406,0.2745210687225282,0.3276003319856307,0.4154614911218593,26.89,0.514,11.84,3.11,0.39,4
79,Kevin Austin Jr.,NO,5,33.0,6.6,23,13,140,1,0.1398802842510506,0.1303083405311768,0.3010362647483997,0.7361461008519832,8.3,0.565,6.09,4.31,,0
80,Kendrick Bourne,SF,14,92.1,6.58,53,37,551,0,0.1079856856376302,0.1479856229991732,0.2655684645558665,0.8284926300311355,11.02,0.698,10.4,4.46,0.566875,2
81,Marvin Mims Jr.,DEN,15,95.0,6.33,51,37,322,1,0.0994174888655845,0.0970868487071201,0.2170870273933609,1.041267164734186,9.37,0.725,6.31,6.24,,0
82,Sterling Shepard,TB,13,82.0,6.31,53,39,371,1,0.1267879422259875,0.1336504824822114,0.2837372510765292,0.8285167716829597,8.55,0.736,7.0,3.82,0.5615384615384615,8
83,Greg Dortch,ARI,12,75.10000000000001,6.26,33,29,206,3,0.0681307205119931,0.0115732443335235,0.1102973518014561,0.9221632653061224,1.76,0.879,6.24,6.69,0.3358333333333334,7
84,Tez Johnson,TB,15,92.4,6.16,44,28,322,5,0.0916264337985987,0.137715336069694,0.2338403859466839,0.5715753512132822,11.73,0.636,7.32,3.93,0.470625,0
85,Calvin Austin III,PIT,14,86.2,6.16,55,31,372,3,0.1309122262655114,0.2545478092214484,0.3745518058532811,0.9296430068647892,11.0,0.564,6.76,4.13,0.535,0
86,Xavier Hutchinson,HOU,16,98.0,6.12,57,35,428,3,0.1120437184197383,0.1319331239856029,0.2604187644195296,0.9446886476846236,10.25,0.614,7.51,4.17,0.5747058823529412,7
87,Olamide Zaccheaus,CHI,14,84.80000000000001,6.06,65,39,313,2,0.1469981563680853,0.1153508513786907,0.3012428305172115,0.8371232679283226,7.11,0.6,4.82,3.54,0.53625,13
